Summary_file = p12-97.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)             sw(28)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1997         6       163        12              0.061              0.076              0.168              0.201              0.220              0.238              0.244              0.272              0.283              0.305              0.314              0.318              0.329              0.339              0.339              0.339              0.338              0.328              0.315              0.303              0.304              0.303              0.297              0.308              0.313              0.312              0.311              0.311             26.438             23.711             38.258             26.370             15.493              7.971              5.890              4.674              3.108              1.661              0.925              0.619              0.514              0.482              0.472              0.475              4.725              3.275              2.360              2.877              0.689              0.057              0.033              0.022              0.017              0.009              0.003              0.002              0.001              0.001              0.001              0.001
      1997        10       300        27              0.054              0.056              0.061              0.102              0.130              0.189              0.189              0.200              0.205              0.219              0.247              0.269              0.312              0.329              0.331              0.333              0.333              0.323              0.311              0.300              0.301              0.300              0.295              0.306              0.312              0.312              0.312              0.312              0.638              0.481              0.401              0.516              0.673              0.156              0.060              0.014              0.002              0.000              0.000              0.016              0.456              0.467              0.457              0.460              0.040              0.258              0.265              0.165              0.073              0.014              0.005              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1997        12       344        10              0.063              0.091              0.073              0.124              0.174              0.188              0.188              0.199              0.204              0.219              0.246              0.275              0.309              0.326              0.329              0.331              0.331              0.322              0.310              0.299              0.300              0.299              0.295              0.306              0.312              0.312              0.312              0.312              0.195              0.204              0.094              0.035              0.067              0.017              0.011              0.005              0.003              0.000              0.000              0.000              0.439              0.468              0.460              0.463              0.338              0.187              0.041              0.000              0.014              0.003              0.001              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1998         6       169        18              0.161              0.205              0.219              0.233              0.242              0.246              0.245              0.239              0.205              0.219              0.249              0.286              0.306              0.322              0.325              0.326              0.327              0.319              0.307              0.296              0.297              0.296              0.293              0.304              0.310              0.310              0.310              0.311             13.799             13.820             10.810              8.817              5.405              2.010              1.163              0.248              0.001              0.000              0.000              0.001              0.390              0.476              0.480              0.484              0.021              0.085              0.895              5.491              1.371              0.092              0.037              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1998        10       280         7              0.268              0.268              0.268              0.269              0.260              0.231              0.218              0.259              0.279              0.303              0.313              0.319              0.333              0.343              0.343              0.342              0.340              0.330              0.316              0.304              0.306              0.305              0.299              0.309              0.315              0.315              0.315              0.315              0.064              0.067              0.055              0.045              0.069              0.089              0.079              0.054              0.020              0.002              0.001              0.001              0.178              0.327              0.410              0.444              0.176              0.175              0.123              0.114              0.170              0.035              0.026              0.014              0.002              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1998        12       350        16              0.297              0.297              0.298              0.300              0.290              0.268              0.276              0.288              0.267              0.265              0.278              0.303              0.320              0.332              0.334              0.335              0.335              0.326              0.313              0.302              0.303              0.303              0.297              0.308              0.313              0.313              0.314              0.314              0.293              0.282              0.187              0.128              0.559              0.222              0.026              0.018              0.014              0.008              0.003              0.002              0.177              0.310              0.385              0.419              0.491              0.519              0.389              0.354              0.176              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1999         6       175        24              0.261              0.261              0.262              0.264              0.262              0.255              0.260              0.284              0.288              0.309              0.317              0.319              0.330              0.339              0.339              0.338              0.336              0.325              0.311              0.299              0.299              0.299              0.294              0.305              0.311              0.311              0.311              0.311              0.333              0.255              0.212              0.204              0.234              0.137              0.126              0.130              0.109              0.056              0.001              0.084              0.173              0.297              0.381              0.429              0.048              0.064              0.114              0.205              0.189              0.036              0.028              0.030              0.027              0.013              0.000              0.005              0.001              0.001              0.001              0.001
      1999         9       266        23              0.065              0.112              0.185              0.209              0.223              0.237              0.246              0.276              0.288              0.312              0.319              0.322              0.334              0.343              0.342              0.341              0.339              0.328              0.315              0.302              0.303              0.302              0.296              0.306              0.311              0.311              0.311              0.311              0.921              1.177              1.122              0.544              0.214              0.061              0.040              0.038              0.030              0.167              0.012              0.103              0.157              0.263              0.346              0.401              0.430              0.357              0.470              0.545              0.237              0.031              0.031              0.035              0.031              0.011              0.000              0.005              0.001              0.001              0.001              0.001
      1999        12       342         8              0.170              0.074              0.092              0.142              0.162              0.193              0.192              0.205              0.212              0.228              0.256              0.276              0.314              0.336              0.339              0.340              0.339              0.330              0.317              0.305              0.306              0.305              0.299              0.310              0.315              0.315              0.315              0.316              1.495              1.007              1.166              1.725              0.749              0.190              0.143              0.116              0.088              0.051              0.009              0.020              0.022              0.145              0.211              0.276              0.196              0.005              0.254              0.348              0.664              0.074              0.042              0.018              0.010              0.005              0.001              0.004              0.001              0.001              0.001              0.001
      2000         6       153         1              0.304              0.305              0.306              0.309              0.297              0.270              0.273              0.247              0.186              0.216              0.243              0.262              0.273              0.286              0.288              0.289              0.292              0.299              0.300              0.292              0.294              0.295              0.292              0.305              0.311              0.311              0.312              0.312              1.727              1.430              1.373              2.098              3.588              2.847              1.729              0.573              0.030              0.029              0.000              0.000              0.000              0.000              0.002              0.056              0.596              0.513              0.513              0.650              0.494              0.089              0.007              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000
      2000         9       256        12              0.300              0.300              0.301              0.303              0.293              0.268              0.270              0.293              0.293              0.311              0.316              0.305              0.274              0.286              0.288              0.289              0.297              0.305              0.299              0.290              0.292              0.292              0.290              0.303              0.309              0.310              0.310              0.310              2.037              1.609              1.410              1.561              1.960              2.255              2.611              2.508              1.314              0.387              0.022              0.001              0.000              0.000              0.000              0.015              0.871              0.726              0.660              0.635              0.383              0.070              0.006              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000
